station,temp_eve,latitude,longitude,lat_m,lon_m
KNCHUNTE13,28.896774193548385,35.41539,-80.83196,4220475.252692713,-8998172.627022257
KNCHUNTE131,28.990322580645163,35.405,-80.777,4219056.142938555,-8992054.50780826
KNCHUNTE136,28.75483870967742,35.438,-80.818,4223564.053812852,-8996618.606930783
KNCHUNTE139,28.26774193548387,35.415,-80.883,4220421.981552838,-9003854.373832347
KNCHUNTE144,29.406451612903226,35.421,-80.814,4221241.566083265,-8996173.328967609
KNCHUNTE152,29.270967741935483,35.423,-80.828,4221514.774491065,-8997731.801838716
KNCHUNTE155,28.47741935483871,35.436,-80.873,4223290.794514129,-9002741.178924413
KNCHUNTE162,28.770967741935483,35.405,-80.931,4219056.142938555,-9009197.709390424
KNCHUNTE166,28.870967741935484,35.38531,-80.9033,4216367.301872637,-9006114.15949545
KNCHUNTE167,28.47741935483871,35.436,-80.856,4223290.794514129,-9000848.747580927
KNCHUNTE29,28.65806451612903,35.41728,-80.84709,4220733.416484629,-8999856.890917959
KNCHUNTE70,29.59032258064516,35.43902,-80.82365,4223703.418668994,-8997247.562053766
KNCHUNTE80,28.29032258064516,35.409,-80.766,4219602.458047822,-8990829.993409535
KNCHUNTE82,28.44516129032258,35.37,-80.878,4214277.041511848,-9003297.77637838
KNCHUNTE89,28.990322580645163,35.431,-80.848,4222607.675961755,-8999958.191654582
KNCHURDL20,27.112903225806452,36.183,-79.08,4325831.194272345,-8803145.331932073
KNCINDIA108,29.835483870967742,35.094,-80.576,4176662.7172576664,-8969679.29015881
KNCINDIA24,28.483870967741936,35.11509,-80.62434,4179532.4352803375,-8975060.474343758
KNCINDIA40,28.029032258064515,35.049,-80.6646,4170542.043707609,-8979542.197043095
KNCINDIA54,28.97741935483871,35.119,-80.588,4180064.5509095206,-8971015.12404833
KNCINDIA55,28.990322580645163,35.03161,-80.6689,4168177.6469496014,-8980020.870853506
KNCINDIA58,29.351612903225806,35.094,-80.593,4176662.7172576664,-8971571.721502297
KNCINDIA66,28.19032258064516,35.025,-80.683,4167279.0634099655,-8981590.475673692
KNCINDIA72,28.73870967741935,35.1126,-80.62595,4179193.5821142527,-8975239.698723935
KNCINDIA88,28.20967741935484,34.69,-76.897,4121832.7770276763,-8560134.883530358
KNCIRONS22,28.348387096774193,35.438,-81.142,4223564.053812852,-9032686.121947804
KNCIRONS30,27.006451612903227,35.484,-81.127,4229850.892612658,-9031016.329585904
KNCIRONS8,27.419354838709676,35.49707,-81.09423,4231637.831097464,-9027368.389872609
KNCIVANH4,27.296774193548387,34.60142,-78.12837,4109846.7734555304,-8697210.364908472
